"Submit_ID","Brand_Reg","Model_No","SoldIn","Screen_Tech","Avg_mode_power","Star2","ScreenSize_Category"
134836,"BAUHN","ATV24FHDC0221","Australia,Fiji,New Zealand","LCD (LED)",14.83,6,"22 inch"
134907,"PHILIPS","58BFL211412","Australia,Fiji,New Zealand","LCD (LED)",79.65,5.5,"55 inch"
134909,"PHILIPS","55HFL6114U12","Australia,Fiji,New Zealand","LCD (LED)",78.97,5,"50 inch"
135227,"KOGAN","KAQLED50XT9510STA","Australia,Fiji,New Zealand","LCD",83,4.5,"50 inch"
135152,"JVC","LT58N7115A","Australia,Fiji","LCD",105.8,4,"55 inch"
135327,"HISENSE","75U80G","Australia,New Zealand","LCD (LED)",260.42,2.5,"65 inch"
135357,"AIWA","AWA400S","Australia,Fiji","LCD (LED)",36.8,6,"43 inch"
135358,"AIWA","AWA500US","Australia,Fiji","LCD (LED)",72,5,"50 inch"
135360,"AIWA","AWA320S","Australia,Fiji","LCD (LED)",28,6,"32 inch"
135403,"KOGAN","KALED58TU9220SKA","Australia,Fiji,New Zealand","LCD (LED)",71.24,5.5,"55 inch"
135403,"KOGAN","KALED58TU9210SKA","Australia,Fiji,New Zealand","LCD (LED)",71.24,5.5,"55 inch"
135403,"KOGAN","KALED58TUSKA","Australia,Fiji,New Zealand","LCD (LED)",71.24,5.5,"55 inch"
135419,"SAMSUNG ELECTRONICS","UA85AU8000W","Australia,Fiji,New Zealand","LCD (LED)",199,5,"75 inch+"
135419,"SAMSUNG ELECTRONICS","UA85AU8000S","Australia,Fiji,New Zealand","LCD (LED)",199,5,"75 inch+"
135419,"SAMSUNG ELECTRONICS","UA85AU8000","Australia,Fiji,New Zealand","LCD (LED)",199,5,"75 inch+"
135422,"SAMSUNG ELECTRONICS","UA60AU8000S","Australia,Fiji,New Zealand","LCD (LED)",117,4.5,"55 inch"
135425,"SAMSUNG ELECTRONICS","UA43AU9000S","Australia,Fiji,New Zealand","LCD (LED)",99,2.5,"43 inch"
135431,"SAMSUNG ELECTRONICS","QA75QN900AW","Australia,Fiji,New Zealand","LCD (LED)",396,1,"65 inch"
135431,"SAMSUNG ELECTRONICS","QA75QN900AS","Australia,Fiji,New Zealand","LCD (LED)",396,1,"65 inch"
135431,"SAMSUNG ELECTRONICS","QA75QN900A","Australia,Fiji,New Zealand","LCD (LED)",396,1,"65 inch"
135432,"SAMSUNG ELECTRONICS","QA65QN900AW","Australia,Fiji,New Zealand","LCD (LED)",308,1,"55 inch"
135432,"SAMSUNG ELECTRONICS","QA65QN900AS","Australia,Fiji,New Zealand","LCD (LED)",308,1,"55 inch"
135432,"SAMSUNG ELECTRONICS","QA65QN900A","Australia,Fiji,New Zealand","LCD (LED)",308,1,"55 inch"
135434,"SAMSUNG ELECTRONICS","QA85QN900AW","Australia,Fiji,New Zealand","LCD (LED)",440,1.5,"75 inch+"
135434,"SAMSUNG ELECTRONICS","QA85QN900AS","Australia,Fiji,New Zealand","LCD (LED)",440,1.5,"75 inch+"
135434,"SAMSUNG ELECTRONICS","QA85QN900A","Australia,Fiji,New Zealand","LCD (LED)",440,1.5,"75 inch+"
135436,"SAMSUNG ELECTRONICS","QA85QN800AW","Australia,Fiji,New Zealand","LCD (LED)",396,2,"75 inch+"
135436,"SAMSUNG ELECTRONICS","QA85QN800AS","Australia,Fiji,New Zealand","LCD (LED)",396,2,"75 inch+"
135436,"SAMSUNG ELECTRONICS","QA85QN800A","Australia,Fiji,New Zealand","LCD (LED)",396,2,"75 inch+"
135437,"SAMSUNG ELECTRONICS","QA75QN800AW","Australia,Fiji,New Zealand","LCD (LED)",336,1.5,"65 inch"
135437,"SAMSUNG ELECTRONICS","QA75QN800AS","Australia,Fiji,New Zealand","LCD (LED)",336,1.5,"65 inch"
135437,"SAMSUNG ELECTRONICS","QA75QN800A","Australia,Fiji,New Zealand","LCD (LED)",336,1.5,"65 inch"
135438,"SAMSUNG ELECTRONICS","QA65QN800AW","Australia,Fiji,New Zealand","LCD (LED)",297,1,"55 inch"
135438,"SAMSUNG ELECTRONICS","QA65QN800AS","Australia,Fiji,New Zealand","LCD (LED)",297,1,"55 inch"
135438,"SAMSUNG ELECTRONICS","QA65QN800A","Australia,Fiji,New Zealand","LCD (LED)",297,1,"55 inch"
135478,"SAMSUNG ELECTRONICS","QA55QN85AAW","Australia,Fiji,New Zealand","LCD (LED)",132,3,"50 inch"
135478,"SAMSUNG ELECTRONICS","QA55QN85AAS","Australia,Fiji,New Zealand","LCD (LED)",132,3,"50 inch"
135478,"SAMSUNG ELECTRONICS","QA55QN85AA","Australia,Fiji,New Zealand","LCD (LED)",132,3,"50 inch"
135479,"SAMSUNG ELECTRONICS","QA55QN90AAW","Australia,Fiji,New Zealand","LCD (LED)",148,2.5,"50 inch"
135479,"SAMSUNG ELECTRONICS","QA55QN90AAS","Australia,Fiji,New Zealand","LCD (LED)",148,2.5,"50 inch"
135479,"SAMSUNG ELECTRONICS","QA55QN90AA","Australia,Fiji,New Zealand","LCD (LED)",148,2.5,"50 inch"
135483,"SAMSUNG ELECTRONICS","QA85QN85AAW","Australia,Fiji,New Zealand","LCD (LED)",192,5,"75 inch+"
135483,"SAMSUNG ELECTRONICS","QA85QN85AAS","Australia,Fiji,New Zealand","LCD (LED)",192,5,"75 inch+"
135483,"SAMSUNG ELECTRONICS","QA85QN85AA","Australia,Fiji,New Zealand","LCD (LED)",192,5,"75 inch+"
135485,"SAMSUNG ELECTRONICS","QA75QN85AAW","Australia,Fiji,New Zealand","LCD (LED)",165,5,"65 inch"
135485,"SAMSUNG ELECTRONICS","QA75QN85AAS","Australia,Fiji,New Zealand","LCD (LED)",165,5,"65 inch"
135485,"SAMSUNG ELECTRONICS","QA75QN85AA","Australia,Fiji,New Zealand","LCD (LED)",165,5,"65 inch"
135487,"SAMSUNG ELECTRONICS","QA50QN90AAW","Australia,Fiji,New Zealand","LCD (LED)",108,3.5,"50 inch"
135487,"SAMSUNG ELECTRONICS","QA50QN90AAS","Australia,Fiji,New Zealand","LCD (LED)",108,3.5,"50 inch"
135487,"SAMSUNG ELECTRONICS","QA50QN90AA","Australia,Fiji,New Zealand","LCD (LED)",108,3.5,"50 inch"
135489,"SAMSUNG ELECTRONICS","QA75QN90AAW","Australia,Fiji,New Zealand","LCD (LED)",198,4,"65 inch"
